-12	132
-11.2	256
-11	160
-10.3	41.7
-10.2	61.6
-10	40
-9.77	30.1
-9	33.2
-8	35.2
-7	34.5
-6.4	23
-6	20.7
-5	20.1
-4	14.4
-3	11.2
-2.3	7.8
-2	7
-1.7	6
-1.55	6.8
-1.4	6
-1.3	5.4
-1.2	7
-0.95	4.5
-0.9	5.4
-0.8	3.5
-0.65	2
-0.5	2
-0.4	5
-0.3	3.5
-0.2	5.5
-0.15	8.3
0	2
1.052	-10
1.551	-10
2.05	-10
2.549	-17
3.047	-20
7.054	-52
7.553	-61
8.05	-66
8.549	-72
9.048	-86
9.546	-1.00E+02
10.044	-92
10.543	-87
11.041	-89
11.539	-93
12.038	-1.03E+02
12.537	-1.11E+02
13.035	-1.19E+02
13.533	-1.26E+02
14.033	-1.46E+02
14.531	-1.64E+02
15.03	-1.70E+02
15.528	-1.64E+02
16.028	-1.54E+02
16.526	-1.49E+02
20.533	-89
21.032	-83
21.53	-83
22.029	-81
22.527	-83
23.025	-85
23.524	-84
24.022	-85
24.521	-82
25.019	-81
25.518	-85
26.016	-94
26.514	-1.06E+02
27.013	-1.12E+02
27.512	-1.14E+02
28.01	-1.20E+02
28.509	-1.42E+02
29.007	-1.78E+02
29.507	-2.01E+02
33.512	-5.26E+02
34.01	-6.00E+02
34.509	-6.74E+02
35.007	-7.36E+02
35.505	-7.91E+02
36.004	-8.76E+02
36.502	-9.93E+02
37	-1.05E+03
37.499	-1.12E+03
37.998	-1.16E+03
38.496	-1.21E+03
38.995	-1.27E+03
39.493	-1.29E+03
39.991	-1.32E+03
40.489	-1.35E+03
40.988	-1.37E+03
41.486	-1.39E+03
41.985	-1.38E+03
42.483	-1.38E+03
42.982	-1.40E+03
46.988	-1.52E+03
47.486	-1.55E+03
47.985	-1.60E+03
48.483	-1.60E+03
48.981	-1.64E+03
49.479	-1.67E+03
49.977	-1.69E+03
50.476	-1.74E+03
50.974	-1.81E+03
51.472	-1.86E+03
51.97	-1.96E+03
52.468	-2.03E+03
52.967	-2.06E+03
53.465	-2.10E+03
53.963	-2.14E+03
54.461	-2.18E+03
54.961	-2.24E+03
55.458	-2.32E+03
55.957	-2.36E+03
59.961	-2.41E+03
60.459	-2.41E+03
60.958	-2.41E+03
61.456	-2.41E+03
61.954	-2.41E+03
62.452	-2.40E+03
62.95	-2.38E+03
63.448	-2.36E+03
63.946	-2.34E+03
64.446	-2.32E+03
64.944	-2.26E+03
65.442	-2.28E+03
65.94	-2.27E+03
66.439	-2.22E+03
66.556	-2.20E+03
67.057	-2.19E+03
67.557	-2.22E+03
68.058	-2.32E+03
68.559	-2.43E+03
69.059	-2.53E+03
69.56	-2.59E+03
70.061	-2.60E+03
70.561	-2.55E+03
71.062	-2.53E+03
71.561	-2.58E+03
78.58	-3.29E+03
79.082	-3.41E+03
79.582	-3.52E+03
80.082	-3.57E+03
80.583	-3.56E+03
81.084	-3.57E+03
81.584	-3.57E+03
82.084	-3.57E+03
82.585	-3.58E+03
83.085	-3.59E+03
83.586	-3.60E+03
84.086	-3.60E+03
84.588	-3.61E+03
85.088	-3.61E+03
85.588	-3.62E+03
86.089	-3.62E+03
86.59	-3.65E+03
87.09	-3.68E+03
87.59	-3.70E+03
88.092	-3.70E+03
88.592	-3.69E+03
89.092	-3.69E+03
89.592	-3.70E+03
90.094	-3.70E+03
90.594	-3.75E+03
91.095	-3.81E+03
91.596	-3.80E+03
92.096	-3.79E+03
92.596	-3.79E+03
93.098	-3.79E+03
93.598	-3.80E+03
94.098	-3.79E+03
94.598	-3.78E+03
95.1	-3.75E+03
95.6	-3.73E+03
102.619	-3.69E+03
103.119	-3.67E+03
103.619	-3.65E+03
104.121	-3.60E+03
104.62	-3.57E+03
105.121	-3.55E+03
105.621	-3.55E+03
106.121	-3.56E+03
106.623	-3.61E+03
107.123	-3.66E+03
107.624	-3.71E+03
108.125	-3.70E+03
108.625	-3.67E+03
109.126	-3.61E+03
109.625	-3.40E+03
110.127	-3.19E+03
110.627	-2.96E+03
111.128	-2.73E+03
111.628	-2.46E+03
112.13	-2.37E+03
112.629	-2.24E+03
113.13	-2.15E+03
113.63	-2.28E+03
114.131	-2.43E+03
114.632	-2.50E+03
115.132	-2.61E+03
115.632	-2.64E+03
116.133	-2.66E+03
116.634	-2.68E+03
117.134	-2.64E+03
117.634	-2.55E+03
118.136	-2.45E+03
118.636	-2.39E+03
119.136	-2.30E+03
119.638	-2.27E+03
126.155	-1.89E+03
126.655	-1.98E+03
127.156	-2.01E+03
127.657	-2.12E+03
128.157	-2.38E+03
128.657	-2.50E+03
129.158	-2.56E+03
129.659	-2.61E+03
130.16	-2.69E+03
130.66	-2.78E+03
131.16	-2.90E+03
131.66	-2.80E+03
132.161	-2.80E+03
132.662	-2.83E+03
133.162	-2.86E+03
133.662	-2.88E+03
134.164	-2.90E+03
134.664	-2.90E+03
135.164	-2.93E+03
135.666	-2.96E+03
136.166	-2.96E+03
136.666	-3.00E+03
137.167	-3.04E+03
137.667	-3.10E+03
138.168	-3.20E+03
138.668	-3.29E+03
139.169	-3.40E+03
139.669	-3.50E+03
140.17	-3.63E+03
140.67	-3.80E+03
141.171	-3.92E+03
141.671	-3.99E+03
142.173	-4.01E+03
142.673	-4.04E+03
143.173	-4.05E+03
143.673	-4.03E+03
150.192	-4.03E+03
150.692	-4.02E+03
151.193	-4.02E+03
151.692	-4.01E+03
152.193	-4.00E+03
152.694	-3.98E+03
153.195	-3.97E+03
153.695	-3.95E+03
154.195	-3.94E+03
154.695	-3.91E+03
155.197	-3.88E+03
155.697	-3.81E+03
156.197	-3.80E+03
156.697	-3.80E+03
157.199	-3.80E+03
157.699	-3.90E+03
158.199	-3.98E+03
158.7	-4.00E+03
159.201	-4.03E+03
159.701	-4.03E+03
160.202	-4.07E+03
160.702	-4.08E+03
161.204	-4.10E+03
161.704	-4.10E+03
162.203	-4.10E+03
162.704	-4.10E+03
163.204	-4.10E+03
163.706	-4.10E+03
164.206	-4.10E+03
164.706	-4.10E+03
165.207	-4.09E+03
165.708	-4.08E+03
166.208	-4.08E+03
166.709	-4.07E+03
167.208	-4.06E+03
167.709	-4.05E+03
174.226	-3.99E+03
174.727	-3.99E+03
175.227	-3.99E+03
175.728	-3.99E+03
176.228	-3.99E+03
176.729	-3.98E+03
177.229	-3.98E+03
177.73	-3.98E+03
178.23	-3.98E+03
178.73	-3.98E+03
179.231	-3.97E+03
179.731	-3.98E+03
